NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA
4+0+20,554790000915528+[0;0;0;0]+0+8+1800
4+1100+37,58459199523926+[0,131;0,157;0,157;0,167]+0,15300000000000002+8+1800
4+1113+37,58459199523926+[0,132;0,159;0,158;0,169]+0,15450000000000003+8+1800
4+1027+41,46569899749756+[0,117;0,145;0,149;0,159]+0,14250000000000002+8+1800
4+1040+41,46569899749756+[0,119;0,147;0,151;0,161]+0,14450000000000002+8+1800
4+966+39,43041899871826+[0,113;0,135;0,142;0,147]+0,13425+8+1800
4+975+39,43041899871826+[0,114;0,136;0,146;0,147]+0,13575+8+1800
4+988+39,43041899871826+[0,116;0,138;0,146;0,149]+0,13725+8+1800
4+895+38,91067399597168+[0,104;0,126;0,135;0,133]+0,1245+8+1800
4+912+38,91067399597168+[0,104;0,129;0,139;0,134]+0,1265+8+1800
4+871+38,23255300140381+[0,103;0,125;0,128;0,128]+0,121+8+1800
4+878+38,23255300140381+[0,104;0,125;0,131;0,128]+0,122+8+1800
4+831+37,03999500274658+[0,099;0,117;0,124;0,121]+0,11525+8+1800
4+843+37,03999500274658+[0,101;0,119;0,126;0,122]+0,11699999999999999+8+1800
4+807+47,194740005493166+[0,098;0,112;0,119;0,119]+0,112+8+1800
4+815+47,194740005493166+[0,098;0,113;0,121;0,121]+0,11325+8+1800
4+788+37,19301000213623+[0,097;0,111;0,114;0,116]+0,1095+8+1800
4+797+37,19301000213623+[0,097;0,111;0,117;0,118]+0,11075+8+1800
