NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+29,22806900024414+[0;0;0;0]+0+8+1800+1+20
4+4224+163,7142369995117+[0,584;0,587;0,593;0,583]+0,5867499999999999+8+1800+1+4206
4+4235+161,37742599868776+[0,586;0,588;0,594;0,585]+0,5882499999999999+8+1800+1+4226
4+4249+169,36499300003052+[0,588;0,591;0,594;0,587]+0,5899999999999999+8+1800+1+4266
4+4260+162,62455299758912+[0,589;0,593;0,596;0,588]+0,5915+8+1800+1+4286
4+4274+168,9078639984131+[0,592;0,596;0,598;0,588]+0,5935+8+1800+1+4306
4+4285+163,93579999923705+[0,594;0,598;0,599;0,589]+0,595+8+1800+1+4346
4+4300+164,19104699707032+[0,596;0,599;0,603;0,591]+0,59725+8+1800+1+4366
4+4314+170,39970999908448+[0,597;0,603;0,604;0,592]+0,599+8+1800+1+4386
4+4325+189,21855500030517+[0,599;0,605;0,606;0,593]+0,60075+8+1800+1+4426
4+4343+169,0097439994812+[0,601;0,607;0,609;0,596]+0,60325+8+1800+1+4447
4+4356+175,37521200180055+[0,603;0,608;0,612;0,597]+0,605+8+1800+1+4467
4+4369+175,36332600021362+[0,605;0,61;0,613;0,599]+0,6067499999999999+8+1800+1+4508
4+4384+175,49142600250244+[0,607;0,612;0,614;0,603]+0,609+8+1800+1+4528
4+4401+179,90275300216675+[0,609;0,614;0,616;0,606]+0,61125+8+1800+1+4551
4+4411+189,362483001709+[0,61;0,616;0,618;0,607]+0,6127499999999999+8+1800+1+4591
4+4423+186,05727700042723+[0,612;0,618;0,619;0,607]+0,614+8+1800+1+4612
4+4438+168,8653029975891+[0,616;0,619;0,622;0,608]+0,61625+8+1800+1+4635
4+4451+178,79199100112916+[0,617;0,622;0,624;0,61]+0,61825+8+1800+1+4656
4+4465+198,08890900039674+[0,618;0,626;0,624;0,613]+0,62025+8+1800+1+4698
4+4481+197,59717999649047+[0,622;0,626;0,626;0,615]+0,62225+8+1800+1+4719
4+4493+182,35653199768066+[0,623;0,626;0,631;0,617]+0,62425+8+1800+1+4739
4+4504+174,3922140007019+[0,624;0,63;0,631;0,617]+0,6255+8+1800+1+4760
4+4519+183,62015700149536+[0,626;0,633;0,632;0,62]+0,62775+8+1800+1+4802
4+4536+190,95681200027465+[0,629;0,635;0,635;0,621]+0,63+8+1800+1+4822
4+4550+187,27902099990845+[0,629;0,637;0,638;0,623]+0,63175+8+1800+1+4843
4+4566+189,26164599990844+[0,631;0,639;0,641;0,626]+0,63425+8+1800+1+4884
4+4583+184,59742000198364+[0,633;0,64;0,642;0,631]+0,6365000000000001+8+1800+1+4907
4+4601+196,19536000061035+[0,636;0,642;0,645;0,633]+0,639+8+1800+1+4928
4+4612+186,4165830001831+[0,637;0,643;0,647;0,635]+0,6405000000000001+8+1800+1+4948
4+4630+191,04017499923705+[0,641;0,647;0,647;0,638]+0,64325+8+1800+1+4991
4+4647+216,82141200256348+[0,643;0,648;0,65;0,64]+0,64525+8+1800+1+5012
4+4659+189,20962799835206+[0,644;0,651;0,652;0,641]+0,647+8+1800+1+5035
4+4670+194,3057560005188+[0,646;0,653;0,654;0,641]+0,6485+8+1800+1+5056
4+4685+196,77562599945068+[0,648;0,654;0,657;0,643]+0,6505000000000001+8+1800+1+5096
4+4699+208,72152099990845+[0,65;0,656;0,661;0,644]+0,65275+8+1800+1+5119
4+4717+200,75671599960327+[0,653;0,658;0,662;0,647]+0,655+8+1800+1+5139
4+4725+231,43691500091552+[0,653;0,659;0,663;0,649]+0,656+8+1800+1+5182
4+4738+192,24459400177003+[0,654;0,661;0,666;0,651]+0,6579999999999999+8+1800+1+5202
4+4747+477,6523290023804+[0,656;0,663;0,667;0,652]+0,6595+8+1800+1+5223
