NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+3500+57,93553700256348+[0,523;0,492;0,483;0,446]+0,48600000000000004+4,64709111111111+8+1800+1+2040+1604851897036+1604850097036
4+3604+54,35126499938965+[0,536;0,513;0,497;0,457]+0,5007499999999999+4,671828055555555+8+1800+1+2080+1604851905036+1604850105036
4+3730+59,54694700622559+[0,556;0,536;0,511;0,471]+0,5185000000000001+4,712501666666672+8+1800+1+2100+1604851913036+1604850113036
4+3860+58,57991499328613+[0,573;0,552;0,532;0,488]+0,53625+4,726029444444445+8+1800+1+2120+1604851921036+1604850121036
4+3970+59,987684997558596+[0,588;0,569;0,549;0,5]+0,5515+4,671776666666666+8+1800+1+2160+1604851929036+1604850129036
4+4090+54,89045199584961+[0,605;0,584;0,567;0,517]+0,56825+4,63699194444444+8+1800+1+2180+1604851937036+1604850137036
4+4228+58,291149002075194+[0,625;0,602;0,585;0,537]+0,5872499999999999+4,620141666666665+8+1800+1+2200+1604851945036+1604850145036
4+4331+62,16953900146484+[0,643;0,612;0,595;0,557]+0,60175+4,710961666666669+8+1800+1+2240+1604851953036+1604850153036
4+4476+64,80035699462891+[0,664;0,634;0,613;0,576]+0,62175+4,689560555555552+8+1800+1+2260+1604851961036+1604850161036
4+4578+67,11405899047851+[0,677;0,648;0,627;0,591]+0,63575+4,748048611111107+8+1800+1+2280+1604851969036+1604850169036
4+4684+67,20780200195313+[0,691;0,667;0,638;0,607]+0,6507499999999999+4,812968888888889+8+1800+1+2320+1604851977036+1604850177036
4+4818+59,886251998901365+[0,709;0,687;0,659;0,622]+0,6692499999999999+4,727381666666669+8+1800+1+2340+1604851985036+1604850185036
4+4953+62,76675399780274+[0,726;0,705;0,679;0,642]+0,6880000000000001+4,811638611111114+8+1800+1+2360+1604851993036+1604850193036
4+5073+62,27247100830078+[0,739;0,721;0,696;0,662]+0,7044999999999999+4,773195277777777+8+1800+1+2400+1604852001036+1604850201036
4+5193+64,35955400085449+[0,757;0,736;0,715;0,677]+0,72125+4,759892777777779+8+1800+1+2420+1604852009036+1604850209036
4+5324+62,82894400024414+[0,772;0,758;0,733;0,695]+0,7394999999999999+4,676204722222224+8+1800+1+2440+1604852017036+1604850217036
4+5438+65,31353900146485+[0,784;0,776;0,746;0,715]+0,75525+4,701701944444444+8+1800+1+2480+1604852025036+1604850225036
4+5590+66,72911999511719+[0,806;0,795;0,767;0,738]+0,7765+4,741712499999999+8+1800+1+2500+1604852033036+1604850233036
4+5725+61,55414700317383+[0,827;0,812;0,79;0,752]+0,79525+4,76156583333333+8+1800+1+2520+1604852041036+1604850241036
4+5826+63,11072198486328+[0,839;0,825;0,803;0,769]+0,809+4,64141666666667+8+1800+1+2560+1604852049036+1604850249036
