NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+4211+57,92755299377441+[0,619;0,597;0,584;0,539]+0,58475+4,612978333333333+8+1800+1+2200+1604856626007+1604854826007
4+4309+58,992988006591794+[0,633;0,608;0,597;0,556]+0,5985+4,692667222222224+8+1800+1+2240+1604856634007+1604854834007
4+4451+59,43710301208496+[0,655;0,629;0,612;0,577]+0,61825+4,68812722222222+8+1800+1+2260+1604856642007+1604854842007
4+4575+57,15668199157715+[0,673;0,647;0,628;0,594]+0,6355+4,749633055555553+8+1800+1+2280+1604856650007+1604854850007
4+4678+63,850531005859374+[0,686;0,666;0,639;0,607]+0,6495+4,816017222222221+8+1800+1+2320+1604856658007+1604854858007
4+4813+61,4438690032959+[0,704;0,687;0,66;0,622]+0,66825+4,7491408333333345+8+1800+1+2340+1604856666007+1604854866007
4+4948+58,20179899597168+[0,722;0,707;0,68;0,641]+0,6875+4,811831666666669+8+1800+1+2360+1604856674007+1604854874007
4+5060+63,13628700256348+[0,735;0,719;0,698;0,658]+0,7025+4,770612500000002+8+1800+1+2400+1604856682007+1604854882007
4+5189+60,18732600402832+[0,752;0,738;0,717;0,676]+0,72075+4,760641388888889+8+1800+1+2420+1604856690007+1604854890007
4+5309+58,73961099243164+[0,766;0,757;0,736;0,691]+0,7375+4,676998055555556+8+1800+1+2440+1604856698007+1604854898007
4+5421+65,1770119934082+[0,779;0,773;0,748;0,711]+0,7527499999999999+4,705933611111109+8+1800+1+2480+1604856706007+1604854906007
4+5567+60,75700900268555+[0,801;0,793;0,768;0,731]+0,77325+4,733046388888889+8+1800+1+2500+1604856714007+1604854914007
4+5709+60,04717399597168+[0,822;0,811;0,792;0,747]+0,7929999999999999+4,759507499999999+8+1800+1+2520+1604856722007+1604854922007
4+5806+69,70280101013184+[0,834;0,825;0,806;0,761]+0,8065+4,637960000000004+8+1800+1+2560+1604856730007+1604854930007
4+5939+62,601891998291016+[0,854;0,843;0,821;0,781]+0,82475+4,652230000000004+8+1800+1+2580+1604856738007+1604854938007
4+6068+64,38065599060059+[0,875;0,852;0,842;0,802]+0,84275+4,606539166666666+8+1800+1+2600+1604856746007+1604854946007
4+6158+73,70793598937988+[0,887;0,867;0,854;0,813]+0,8552500000000001+4,695713333333333+8+1800+1+2640+1604856754007+1604854954007
4+6293+65,67989898681641+[0,722;0,713;0,695;0,666]+0,699+4,91298833333333+8+2250+1+2660+1604856762007+1604854512007
4+6413+66,43482299804687+[0,736;0,727;0,708;0,679]+0,7125000000000001+4,8748441666666675+8+2250+1+2680+1604856770007+1604854520007
4+6522+79,41024198913574+[0,751;0,735;0,727;0,686]+0,72475+4,646007499999996+8+2250+1+2720+1604856778007+1604854528007
4+6656+66,74919099426269+[0,764;0,751;0,742;0,701]+0,7395+4,62822361111111+8+2250+1+2740+1604856786007+1604854536007
4+6785+68,11724000549316+[0,78;0,766;0,75;0,72]+0,754+4,706875833333332+8+2250+1+2760+1604856794007+1604854544007
4+6924+72,7541190032959+[0,794;0,784;0,761;0,738]+0,76925+4,718308888888887+8+2250+1+2780+1604856802007+1604854552007
