NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+26,61415899848938+[0;0;0;0]+0+8+600+1+20
4+366+38,28395599937439+[0,162;0,13;0,163;0,155]+0,15250000000000002+8+600+2,86102294921875+552
4+367+38,28395599937439+[0,162;0,13;0,165;0,155]+0,15300000000000002+8+600+2,86102294921875+552
4+351+48,44005900001526+[0,148;0,13;0,157;0,15]+0,14625000000000002+8+600+2,86102294921875+556
4+351+48,44005900001526+[0,148;0,13;0,157;0,15]+0,14625000000000002+8+600+2,86102294921875+556
4+332+41,86505200004578+[0,15;0,11;0,148;0,145]+0,13825+8+600+2,86102294921875+560
4+336+41,86505200004578+[0,153;0,112;0,148;0,147]+0,14+8+600+2,86102294921875+560
4+318+39,12956200027466+[0,145;0,105;0,145;0,135]+0,1325+8+600+2,1457672119140625+564
4+322+39,12956200027466+[0,145;0,105;0,15;0,137]+0,13425+8+600+2,1457672119140625+564
4+312+39,635378999710085+[0,143;0,103;0,143;0,13]+0,12975+8+600+2,1457672119140625+576
4+322+39,635378999710085+[0,145;0,107;0,145;0,14]+0,13425+8+600+2,1457672119140625+576
4+308+43,366888999938965+[0,142;0,102;0,14;0,13]+0,1285+8+600+2,1457672119140625+584
4+309+43,366888999938965+[0,142;0,1;0,14;0,133]+0,12875+8+600+2,1457672119140625+584
4+303+46,66777300071716+[0,137;0,098;0,137;0,133]+0,12625+8+600+2,1457672119140625+592
