NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+20,129081000089645+[0;0;0;0]+0+8+1800+1+20
4+1584+63,4304279999733+[1,34;1,29;1,36;1,303]+1,32325+8+299,25+1+1056
4+1579+61,40568600034714+[1,327;1,29;1,337;1,323]+1,3192499999999998+8+299,25+1+1056
4+1580+67,76248099994659+[1,313;1,297;1,35;1,32]+1,32+8+299,25+1+1056
4+1569+57,901110000133514+[1,303;1,287;1,353;1,3]+1,3107499999999999+8+299,25+1+1052
4+1563+57,48805699968338+[1,293;1,283;1,37;1,277]+1,30575+8+299,25+1+1052
4+1560+69,32867100000381+[1,283;1,283;1,36;1,287]+1,30325+8+299,25+1+1052
4+1575+63,19431599998474+[1,317;1,287;1,367;1,293]+1,316+8+299,25+1+1052
4+1584+63,85362400007248+[1,32;1,287;1,393;1,293]+1,32325+8+299,25+1+1052
4+1574+60,91050099992752+[1,3;1,3;1,353;1,307]+1,315+8+299,25+1+1052
4+1576+62,13361100006104+[1,307;1,303;1,343;1,313]+1,3165+8+299,25+1+1054
4+1582+66,65244199991226+[1,32;1,297;1,357;1,313]+1,32175+8+299,25+1+1052
4+1580+66,72553200006485+[1,307;1,31;1,357;1,307]+1,3202500000000001+8+299,25+1+1055
4+1585+63,59116000032425+[1,303;1,317;1,357;1,32]+1,3242500000000001+8+299,25+1+1056
4+1570+59,70827299976349+[1,3;1,3;1,35;1,297]+1,31175+8+299,25+1+1056
4+1583+59,358523000240325+[1,31;1,29;1,38;1,31]+1,3225+8+299,25+1+1056
4+1603+73,55061499977111+[1,333;1,3;1,404;1,32]+1,33925+8+299,25+1+1056
4+1597+62,602601000308994+[1,337;1,303;1,373;1,323]+1,334+8+299,25+1+1056
4+1607+64,06536000013351+[1,347;1,31;1,367;1,347]+1,34275+8+299,25+1+1056
4+1596+64,96782100009918+[1,32;1,3;1,393;1,32]+1,33325+8+299,25+1+1056
4+1604+68,4687950000763+[1,33;1,31;1,393;1,327]+1,34+8+299,25+1+1056
4+1583+63,813455000400545+[1,317;1,287;1,37;1,317]+1,32275+8+299,25+1+1056
4+1599+60,77781300020218+[1,317;1,297;1,383;1,347]+1,3359999999999999+8+299,25+1+1056
4+1591+58,30186699962616+[1,313;1,287;1,373;1,343]+1,329+8+299,25+1+1056
4+1594+67,30449399995804+[1,313;1,287;1,373;1,353]+1,3315+8+299,25+1+1056
4+1592+59,522132999897+[1,303;1,277;1,377;1,363]+1,33+8+299,25+1+1056
