NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+1628+52,555908004760745+[0,727;0,673;0,67;0,643]+0,67825+1,6738602777777771+8+600+1+2032+1604870164300+1604869564300
4+1658+55,934031005859374+[0,742;0,687;0,682;0,653]+0,6910000000000001+1,6785211111111105+8+600+1+2032+1604870172300+1604869572300
4+1688+62,41643099975586+[0,755;0,703;0,69;0,665]+0,7032499999999999+1,656577777777778+8+600+1+2032+1604870180300+1604869580300
4+1723+52,02297799682617+[0,772;0,718;0,71;0,672]+0,7180000000000001+1,736537777777778+8+600+1+2032+1604870188300+1604869588300
4+1754+56,45441299438477+[0,782;0,73;0,728;0,683]+0,73075+1,594909722222222+8+600+1+2032+1604870196300+1604869596300
4+1792+53,70651399230957+[0,788;0,748;0,745;0,705]+0,7465+1,5687433333333334+8+600+1+2032+1604870204300+1604869604300
4+1826+63,78650500488281+[0,805;0,765;0,748;0,725]+0,76075+1,5946472222222223+8+600+1+2032+1604870212300+1604869612300
4+1854+55,552363998413085+[0,813;0,77;0,767;0,74]+0,7725+1,4782422222222218+8+600+1+2032+1604870220300+1604869620300
4+1877+53,92124900817871+[0,822;0,782;0,778;0,747]+0,78225+1,492918333333334+8+600+1+2032+1604870228300+1604869628300
4+1912+52,50490299987793+[0,837;0,797;0,782;0,772]+0,7969999999999999+1,4792061111111112+8+600+1+2032+1604870236300+1604869636300
4+1940+56,016811996459964+[0,85;0,808;0,79;0,785]+0,80825+1,5395874999999994+8+600+1+2032+1604870244300+1604869644300
4+1967+58,34671501159668+[0,857;0,813;0,808;0,8]+0,8194999999999999+1,5467277777777775+8+600+1+2032+1604870252300+1604869652300
4+1990+54,05613899230957+[0,87;0,825;0,818;0,803]+0,829+1,5254786111111112+8+600+1+2032+1604870260300+1604869660300
4+2006+55,80917100524902+[0,875;0,837;0,825;0,807]+0,836+1,4910327777777779+8+600+1+2032+1604870268300+1604869668300
4+2047+129,06638299560547+[0,888;0,852;0,842;0,83]+0,853+1,497362777777778+8+600+1+2032+1604870276300+1604869676300
4+2072+281,9660220031738+[0,9;0,862;0,85;0,842]+0,8635+1,5068072222222222+8+600+1+2032+1604870284300+1604869684300
4+2091+58,78016200256348+[0,905;0,868;0,868;0,843]+0,871+1,5627311111111113+8+600+1,25+2024+1604870292300+1604869692300
4+2103+54,17309600830078+[0,908;0,878;0,868;0,85]+0,876+1,6176449999999991+8+600+1,25+2020+1604870300300+1604869700300
4+2137+55,28147900390625+[0,922;0,893;0,883;0,863]+0,89025+1,6508958333333326+8+600+1,25+2016+1604870308300+1604869708300
4+2172+54,324772994995115+[0,945;0,898;0,898;0,878]+0,90475+1,6433494444444445+8+600+1,25+2011+1604870316300+1604869716300
4+2190+56,39849700927734+[0,952;0,907;0,915;0,877]+0,91275+1,6347852777777778+8+600+1,25+2004+1604870324300+1604869724300
4+2231+57,25354499816895+[0,968;0,93;0,928;0,892]+0,9295+1,6519324999999996+8+600+1,25+2000+1604870332300+1604869732300
4+2250+58,75020001220703+[0,973;0,94;0,937;0,9]+0,9374999999999999+1,6812819444444436+8+600+1,25+1996+1604870340300+1604869740300
4+2298+57,28597700500488+[0,997;0,957;0,955;0,922]+0,95775+1,5766169444444438+8+600+1,25+1992+1604870348300+1604869748300
4+2315+59,80942799377441+[1,005;0,962;0,963;0,928]+0,9644999999999999+1,5698177777777775+8+600+1,25+1984+1604870356300+1604869756300
4+2351+56,62360800170899+[1,012;0,978;0,982;0,947]+0,97975+1,5962986111111104+8+600+1,25+1980+1604870364300+1604869764300
4+2371+55,58708099365234+[1,022;0,987;0,988;0,955]+0,988+1,5801224999999997+8+600+1,25+1976+1604870372300+1604869772300
4+2390+57,11228199768066+[1,033;0,995;0,995;0,96]+0,99575+1,5969030555555557+8+600+1,25+1964+1604870380300+1604869780300
4+2429+56,88531900024414+[1,053;1,003;1,008;0,983]+1,01175+1,5575349999999992+8+600+1,25+1960+1604870388300+1604869788300
4+2457+57,21000700378418+[1,058;1,015;1,027;0,995]+1,02375+1,4415488888888892+8+600+1,25+1956+1604870396300+1604869796300
4+2490+59,26532000732422+[1,073;1,037;1,035;1,005]+1,0374999999999999+1,4620055555555558+8+600+1,25+1952+1604870404300+1604869804300
4+2524+57,70642399597168+[1,085;1,043;1,043;1,035]+1,0515+1,4235536111111113+8+600+1,25+1944+1604870412300+1604869812300
4+2552+53,18040699768066+[1,097;1,057;1,058;1,042]+1,0635+1,4463188888888885+8+600+1,25+1940+1604870420300+1604869820300
4+2572+53,6322559967041+[1,105;1,065;1,062;1,055]+1,07175+1,5475094444444435+8+600+1,25+1936+1604870428300+1604869828300
4+2607+54,11232000732422+[1,123;1,073;1,075;1,073]+1,0859999999999999+1,5460933333333327+8+600+1,25+1932+1604870436300+1604869836300
4+2627+59,788967987060545+[1,132;1,088;1,087;1,072]+1,09475+1,5612694444444433+8+600+1,25+1924+1604870444300+1604869844300
4+2658+53,23281100463867+[1,147;1,102;1,097;1,085]+1,10775+1,6044099999999997+8+600+1,25+1920+1604870452300+1604869852300
4+2683+56,30229200744629+[1,155;1,113;1,105;1,098]+1,11775+1,625705833333333+8+600+1,25+1916+1604870460300+1604869860300
4+2715+58,1957200012207+[1,173;1,125;1,123;1,103]+1,131+1,6245408333333322+8+600+1,25+1912+1604870468300+1604869868300
4+2738+56,76068600463867+[1,182;1,133;1,13;1,118]+1,14075+1,5586333333333333+8+600+1,25+1904+1604870476300+1604869876300
4+2762+55,289768005371094+[1,192;1,152;1,135;1,125]+1,151+1,598511111111111+8+600+1,25+1900+1604870484300+1604869884300
4+2796+62,71842900085449+[1,2;1,167;1,15;1,143]+1,165+1,643916666666666+8+600+1,25+1896+1604870492300+1604869892300
