NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+4571+78,77349100017548+[2,025;1,963;1,838;1,792]+1,9045+8+600+3,0517578125+1630
4+4504+76,66930300045013+[2,002;1,928;1,822;1,755]+1,87675+8+600+3,0517578125+1585
4+4542+76,66930300045013+[2,023;1,94;1,843;1,763]+1,89225+8+600+3,0517578125+1585
4+4497+76,05175599956513+[2,003;1,932;1,815;1,745]+1,87375+8+600+3,0517578125+1542
4+4544+76,05175599956513+[2,018;1,955;1,828;1,772]+1,89325+8+600+3,0517578125+1542
4+4541+76,05175599956513+[2,02;1,95;1,82;1,778]+1,892+8+600+3,0517578125+1542
4+4518+83,50862600040436+[2,01;1,95;1,817;1,753]+1,8825+8+600+3,0517578125+1502
4+4547+83,50862600040436+[2,025;1,953;1,822;1,778]+1,8944999999999999+8+600+3,0517578125+1502
4+4516+81,24499699974061+[2,01;1,943;1,808;1,765]+1,8815+8+600+3,0517578125+1462
4+4543+81,24499699974061+[2,025;1,957;1,812;1,778]+1,8930000000000002+8+600+3,0517578125+1462
4+4505+76,43019799995422+[2,003;1,943;1,802;1,76]+1,877+8+600+3,0517578125+1418
4+4528+76,43019799995422+[2,017;1,952;1,812;1,767]+1,887+8+600+3,0517578125+1418
4+4484+70,461875+[2,005;1,915;1,788;1,765]+1,86825+8+600+3,814697265625+1361
4+4499+70,461875+[2,008;1,925;1,793;1,772]+1,8745+8+600+3,814697265625+1361
4+4547+70,461875+[2,03;1,943;1,815;1,79]+1,8945+8+600+3,814697265625+1361
4+4534+70,461875+[2,022;1,937;1,803;1,795]+1,8892499999999999+8+600+3,814697265625+1361
4+4458+63,86582200050354+[1,998;1,912;1,763;1,757]+1,8575+8+600+3,814697265625+1302
4+4486+63,86582200050354+[2,008;1,92;1,777;1,772]+1,86925+8+600+3,814697265625+1302
4+4409+71,84862399959565+[1,975;1,9;1,745;1,728]+1,837+8+600+3,814697265625+1246
4+4443+71,84862399959565+[1,993;1,913;1,755;1,743]+1,851+8+600+3,814697265625+1246
4+4477+71,84862399959565+[2,007;1,92;1,773;1,762]+1,8655+8+600+3,814697265625+1246
4+4392+76,23459300041199+[1,965;1,885;1,735;1,735]+1,83+8+600+3,814697265625+1191
4+4418+76,23459300041199+[1,978;1,908;1,74;1,737]+1,84075+8+600+3,814697265625+1191
4+4445+76,23459300041199+[1,992;1,913;1,748;1,755]+1,852+8+600+3,814697265625+1191
4+4361+59,967697999954225+[1,958;1,875;1,717;1,718]+1,8170000000000002+8+600+3,814697265625+1136
4+4391+59,967697999954225+[1,97;1,893;1,73;1,725]+1,8295+8+600+3,814697265625+1136
4+4413+59,967697999954225+[1,978;1,898;1,73;1,748]+1,8385+8+600+3,814697265625+1136
4+4328+61,56410999965668+[1,945;1,868;1,688;1,712]+1,80325+8+600+3,814697265625+1078
4+4380+61,56410999965668+[1,968;1,893;1,717;1,722]+1,8249999999999997+8+600+3,814697265625+1078
4+4388+61,56410999965668+[1,977;1,887;1,718;1,732]+1,8285+8+600+3,814697265625+1078
4+4341+63,36754900074005+[1,958;1,867;1,703;1,707]+1,80875+8+600+3,814697265625+1022
4+4374+63,36754900074005+[1,977;1,878;1,715;1,72]+1,8225+8+600+3,814697265625+1022
4+4373+63,36754900074005+[1,967;1,885;1,713;1,723]+1,822+8+600+3,814697265625+1022
4+4274+53,24084200000763+[1,887;1,853;1,688;1,695]+1,78075+8+600+3,814697265625+966
4+4311+53,24084200000763+[1,89;1,875;1,708;1,712]+1,79625+8+600+3,814697265625+966
4+4261+53,24084200000763+[1,838;1,843;1,712;1,708]+1,77525+8+600+3,814697265625+966
4+4126+57,76015899944306+[1,757;1,77;1,667;1,683]+1,71925+8+600+3,814697265625+909
4+4138+57,76015899944306+[1,753;1,765;1,67;1,708]+1,724+8+600+3,814697265625+909
4+3881+48,29704400062561+[1,61;1,655;1,575;1,628]+1,617+8+600+3,814697265625+854
4+3894+48,29704400062561+[1,61;1,655;1,583;1,642]+1,6225+8+600+3,814697265625+854
4+3901+48,29704400062561+[1,61;1,645;1,59;1,657]+1,6255+8+600+3,814697265625+854
4+3588+50,36170900058746+[1,478;1,49;1,472;1,54]+1,4949999999999999+8+600+3,814697265625+798
4+3599+50,36170900058746+[1,488;1,492;1,473;1,545]+1,4995+8+600+3,814697265625+798
4+3581+50,36170900058746+[1,478;1,475;1,462;1,553]+1,492+8+600+3,814697265625+798
4+3343+50,0158140001297+[1,38;1,383;1,36;1,448]+1,39275+8+600+3,814697265625+758
4+3351+50,0158140001297+[1,383;1,387;1,362;1,453]+1,39625+8+600+3,814697265625+758
4+3310+50,0158140001297+[1,355;1,368;1,34;1,453]+1,379+8+600+3,814697265625+758
4+3094+47,45503499984741+[1,257;1,28;1,263;1,357]+1,28925+8+600+3,814697265625+719
4+3103+47,45503499984741+[1,262;1,285;1,268;1,357]+1,293+8+600+3,814697265625+719
4+3070+47,45503499984741+[1,252;1,265;1,25;1,35]+1,27925+8+600+3,814697265625+719
