NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+1310+57,78632600402832+[0,2;0,185;0,18;0,163]+0,182+1,5394336111111115+8+1800+1+2160+1604878933046+1604877133046
4+1358+56,36803500366211+[0,207;0,192;0,187;0,169]+0,18875000000000003+1,5607222222222217+8+1800+1+2180+1604878941046+1604877141046
4+1402+56,80874900817871+[0,214;0,196;0,192;0,177]+0,19475000000000003+1,5321288888888882+8+1800+1+2200+1604878949046+1604877149046
4+1446+57,18852500915527+[0,219;0,201;0,199;0,184]+0,20074999999999998+1,5585955555555546+8+1800+1+2240+1604878957046+1604877157046
4+1485+58,93365299987793+[0,226;0,206;0,204;0,19]+0,20650000000000002+1,5429208333333335+8+1800+1+2260+1604878965046+1604877165046
4+1525+63,41269799804687+[0,232;0,213;0,208;0,194]+0,21175+1,572656666666667+8+1800+1+2300+1604878973046+1604877173046
4+1566+60,29039601135254+[0,239;0,215;0,214;0,202]+0,21749999999999997+1,5951244444444441+8+1800+1+2320+1604878981046+1604877181046
4+1598+59,52518600463867+[0,242;0,223;0,217;0,206]+0,22199999999999998+1,5489147222222235+8+1800+1+2340+1604878989046+1604877189046
4+1640+61,65561199951172+[0,247;0,23;0,222;0,212]+0,22774999999999998+1,5787516666666677+8+1800+1+2380+1604878997046+1604877197046
4+1679+62,76386801147461+[0,249;0,237;0,229;0,218]+0,23324999999999999+1,5567069444444446+8+1800+1+2400+1604879005046+1604877205046
4+1717+64,7834819946289+[0,255;0,239;0,237;0,223]+0,2385+1,572543055555555+8+1800+1+2420+1604879013046+1604877213046
4+1763+64,97785800170898+[0,264;0,243;0,242;0,23]+0,24475+1,5354133333333337+8+1800+1+2460+1604879021046+1604877221046
4+1801+60,27667900085449+[0,268;0,247;0,249;0,236]+0,25+1,6026366666666678+8+1800+1+2480+1604879029046+1604877229046
4+1844+66,72519200134278+[0,273;0,253;0,254;0,244]+0,256+1,5863761111111114+8+1800+1+2500+1604879037046+1604877237046
4+1887+66,29378100585937+[0,279;0,261;0,259;0,249]+0,262+1,659226388888888+8+1800+1+2540+1604879045046+1604877245046
4+1932+65,69779100036621+[0,286;0,267;0,264;0,256]+0,26825+1,6764677777777783+8+1800+1+2560+1604879053046+1604877253046
4+1975+67,9424049987793+[0,293;0,273;0,27;0,262]+0,2745+1,6527461111111108+8+1800+1+2580+1604879061046+1604877261046
4+2024+65,20425199890137+[0,301;0,28;0,277;0,267]+0,28125+1,6535833333333345+8+1800+1+2620+1604879069046+1604877269046
4+2066+69,69392500305176+[0,305;0,287;0,283;0,273]+0,28700000000000003+1,5933074999999994+8+1800+1+2640+1604879077046+1604877277046
4+2119+64,75199499511719+[0,309;0,295;0,292;0,281]+0,29425+1,5701266666666682+8+1800+1+2660+1604879085046+1604877285046
4+2163+67,16064100646973+[0,317;0,302;0,295;0,288]+0,3005+1,608780277777779+8+1800+1+2700+1604879093046+1604877293046
4+2206+69,92505000305175+[0,321;0,306;0,305;0,294]+0,3065+1,4770916666666665+8+1800+1+2720+1604879101046+1604877301046
4+2244+68,56345100402832+[0,327;0,311;0,311;0,298]+0,31175+1,4876961111111104+8+1800+1+2740+1604879109046+1604877309046
