NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+6293+55,58433799743652+[2,52;2,547;2,65;2,772]+2,62225+1,520624166666667+8+600+1+2028+1604866684939+1604866084939
4+6221+54,45205999755859+[2,488;2,527;2,61;2,743]+2,592+1,5299758333333324+8+600+1+2028+1604866692939+1604866092939
4+6157+56,7969700012207+[2,462;2,507;2,57;2,723]+2,5655+1,5821063888888887+8+600+1+2028+1604866700939+1604866100939
4+6043+64,38494700622559+[2,417;2,435;2,542;2,678]+2,518+1,5769450000000012+8+600+1+2028+1604866708939+1604866108939
4+5976+53,58489300537109+[2,385;2,4;2,52;2,655]+2,4899999999999998+1,6649563888888896+8+600+1+2028+1604866716939+1604866116939
4+5908+58,06970500183105+[2,362;2,373;2,488;2,623]+2,4615+1,5813961111111101+8+600+1+2028+1604866724939+1604866124939
4+5792+56,85516999816895+[2,322;2,325;2,432;2,575]+2,4135+1,4788077777777762+8+600+1+2028+1604866732939+1604866132939
4+5722+54,53278500366211+[2,298;2,302;2,398;2,538]+2,384+1,5136027777777767+8+600+1+2028+1604866740939+1604866140939
4+5657+57,63938900756836+[2,267;2,285;2,36;2,517]+2,3572499999999996+1,5271038888888884+8+600+1+2027+1604866748939+1604866148939
4+5567+57,29256199645996+[2,225;2,253;2,338;2,462]+2,3195+1,5205124999999982+8+600+1+2028+1604866756939+1604866156939
4+5511+53,23365600585937+[2,195;2,237;2,312;2,442]+2,2965+1,541795555555555+8+600+1+2028+1604866764939+1604866164939
4+5447+61,422823989868164+[2,17;2,197;2,295;2,417]+2,26975+1,5689783333333327+8+600+1+2027+1604866772939+1604866172939
4+5349+60,765496994018555+[2,12;2,168;2,257;2,37]+2,22875+1,5230700000000004+8+600+1+2028+1604866780939+1604866180939
4+5292+59,17699699401855+[2,093;2,143;2,227;2,357]+2,205+1,5738700000000003+8+600+1+2028+1604866788939+1604866188939
4+5228+55,32876399230957+[2,077;2,11;2,188;2,338]+2,1782500000000002+1,547988888888889+8+600+1+2028+1604866796939+1604866196939
4+5096+57,437495010375976+[2,02;2,058;2,147;2,268]+2,1232499999999996+1,6103488888888893+8+600+1+2028+1604866804939+1604866204939
4+5035+54,71764999389649+[1,987;2,032;2,123;2,25]+2,098+1,5851944444444444+8+600+1+2028+1604866812939+1604866212939
4+4959+55,196399993896485+[1,958;1,997;2,105;2,205]+2,06625+1,6100444444444446+8+600+1+2028+1604866820939+1604866220939
4+4846+63,385057006835936+[1,907;1,95;2,063;2,157]+2,01925+1,6252541666666669+8+600+1+2028+1604866828939+1604866228939
