NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+21,032827001571654+[0;0;0;0]+0+8+1800+1+20
4+1823+76,82993099975586+[1,017;1,029;1,106;1,12]+1,068+8+426,75+1+1456
4+1797+83,79789399909973+[1,01;1,005;1,104;1,092]+1,05275+8+426,75+1+1456
4+1765+82,4020799999237+[0,982;0,996;1,071;1,087]+1,034+8+426,75+1+1456
4+1751+81,91438399887085+[0,97;0,994;1,069;1,071]+1,026+8+426,75+1+1456
4+1726+83,17216700172425+[0,961;0,963;1,054;1,066]+1,011+8+426,75+1+1456
4+1710+71,4796310005188+[0,944;0,951;1,052;1,059]+1,0015+8+426,75+1+1456
4+1668+82,62845699882507+[0,921;0,93;1,024;1,033]+0,977+8+426,75+1+1456
4+1647+73,50012599945069+[0,912;0,912;1,015;1,022]+0,9652499999999999+8+426,75+1+1456
4+1617+85,46453000068665+[0,886;0,883;1,008;1,012]+0,94725+8+426,75+1+1456
4+1576+84,21033099937439+[0,867;0,867;0,963;0,996]+0,92325+8+426,75+1+1456
4+1554+81,90757100105286+[0,858;0,853;0,954;0,977]+0,9105+8+426,75+1+1456
4+1522+85,3849169998169+[0,839;0,844;0,937;0,947]+0,89175+8+426,75+1+1456
4+1485+78,93030500030518+[0,825;0,818;0,919;0,919]+0,87025+8+426,75+1+1456
4+1456+73,46854999923706+[0,806;0,794;0,907;0,905]+0,853+8+426,75+1+1455
4+1437+87,40230599975585+[0,794;0,783;0,888;0,902]+0,84175+8+426,75+1+1456
4+1402+78,43574799919128+[0,778;0,776;0,846;0,886]+0,8215+8+426,75+1+1456
4+1387+76,67313000106812+[0,771;0,755;0,846;0,879]+0,81275+8+426,75+1+1456
4+1361+85,24657200050353+[0,762;0,748;0,825;0,855]+0,7975+8+426,75+1+1456
4+1327+81,87522400093079+[0,736;0,736;0,797;0,841]+0,7775000000000001+8+426,75+1+1456
4+1322+77,44962100028992+[0,738;0,717;0,808;0,834]+0,77425+8+426,75+1+1456
4+1290+81,55351700019837+[0,715;0,698;0,801;0,808]+0,7555000000000001+8+426,75+1+1456
4+1261+80,26584300041199+[0,689;0,689;0,776;0,801]+0,73875+8+426,75+1+1456
4+1249+79,20989399909973+[0,68;0,677;0,766;0,804]+0,7317500000000001+8+426,75+1+1456
4+1223+81,26916699981689+[0,654;0,661;0,757;0,794]+0,7165+8+426,75+1+1456
4+1178+81,30649799919128+[0,619;0,637;0,731;0,773]+0,6900000000000001+8+426,75+1+1456
4+1163+76,43784900093078+[0,623;0,623;0,715;0,764]+0,6812499999999999+8+426,75+1+1456
4+1139+86,0842919998169+[0,616;0,598;0,698;0,757]+0,66725+8+426,75+1+1456
4+1098+72,82387400054931+[0,588;0,583;0,68;0,722]+0,64325+8+426,75+1+1456
